file	sample	sample_name	condition	replicate
/scratch/lb4489/project/hcc/iprox/L111_T/CNHPP_HCC_LC_profiling_L111_T_F1.mzML	L111_T	L111_T	L111	1
/scratch/lb4489/project/hcc/iprox/L111_T/CNHPP_HCC_LC_profiling_L111_T_F6.mzML	L111_T	L111_T	L111	1
/scratch/lb4489/project/hcc/iprox/L111_T/CNHPP_HCC_LC_profiling_L111_T_F5.mzML	L111_T	L111_T	L111	1
/scratch/lb4489/project/hcc/iprox/L111_T/CNHPP_HCC_LC_profiling_L111_T_F3.mzML	L111_T	L111_T	L111	1
/scratch/lb4489/project/hcc/iprox/L111_T/CNHPP_HCC_LC_profiling_L111_T_F2.mzML	L111_T	L111_T	L111	1
/scratch/lb4489/project/hcc/iprox/L111_T/CNHPP_HCC_LC_profiling_L111_T_F4.mzML	L111_T	L111_T	L111	1
/scratch/lb4489/project/hcc/iprox/L112_P/CNHPP_HCC_LC_profiling_L112_P_F4.mzML	L112_P	L112_P	L112	1
/scratch/lb4489/project/hcc/iprox/L112_P/CNHPP_HCC_LC_profiling_L112_P_F1.mzML	L112_P	L112_P	L112	1
/scratch/lb4489/project/hcc/iprox/L112_P/CNHPP_HCC_LC_profiling_L112_P_F2.mzML	L112_P	L112_P	L112	1
/scratch/lb4489/project/hcc/iprox/L112_P/CNHPP_HCC_LC_profiling_L112_P_F3.mzML	L112_P	L112_P	L112	1
/scratch/lb4489/project/hcc/iprox/L112_P/CNHPP_HCC_LC_profiling_L112_P_F5.mzML	L112_P	L112_P	L112	1
/scratch/lb4489/project/hcc/iprox/L112_P/CNHPP_HCC_LC_profiling_L112_P_F6.mzML	L112_P	L112_P	L112	1
/scratch/lb4489/project/hcc/iprox/L112_T/CNHPP_HCC_LC_profiling_L112_T_F3.mzML	L112_T	L112_T	L112	1
/scratch/lb4489/project/hcc/iprox/L112_T/CNHPP_HCC_LC_profiling_L112_T_F5.mzML	L112_T	L112_T	L112	1
/scratch/lb4489/project/hcc/iprox/L112_T/CNHPP_HCC_LC_profiling_L112_T_F4.mzML	L112_T	L112_T	L112	1
/scratch/lb4489/project/hcc/iprox/L112_T/CNHPP_HCC_LC_profiling_L112_T_F2.mzML	L112_T	L112_T	L112	1
/scratch/lb4489/project/hcc/iprox/L112_T/CNHPP_HCC_LC_profiling_L112_T_F6.mzML	L112_T	L112_T	L112	1
/scratch/lb4489/project/hcc/iprox/L112_T/CNHPP_HCC_LC_profiling_L112_T_F1.mzML	L112_T	L112_T	L112	1
